"","Wort","sentiment score"
"71","Ausbeutung","-0.0048"
"72","Ausbruch","-0.0048"
"73","Auseinandersetzung","-0.0603"
"74","Ausfall","-0.2164"
"75","Ausgrenzung","-0.626"
"76","Auslöschung","-0.0048"
"77","Ausrottung","-0.0048"
"78","Ausschließung","-0.0048"
"79","Aussetzung","-0.0048"
"80","Banalität","-0.0048"
"81","Bankrott","-0.0048"
"82","Barriere","-0.0048"
"83","Bedeutungslosigkeit","-0.0048"
"84","Bedrohung","-0.0048"
"85","Bedrängung","-0.0048"
"86","Bedrückung","-0.0435"
"87","Bedürftige","-0.0048"
"88","Beeinträchtigung","-0.3472"
"89","Befall","-0.0048"
"90","Befangenheit","-0.0048"
"91","Befürchtung","-0.4903"
"92","Begrenzung","-0.0048"
"93","Behinderung","-0.3578"
"94","Belastung","-0.3711"
"95","Beleidigung","-0.3432"
"96","Belästigung","-0.0048"
"97","Beschneidung","-0.3313"
"98","Beschränkung","-0.3518"
"99","Beschuldigung","-0.3209"
"100","Beschwerde","-0.0048"
"101","Beschwerlichkeit","-0.0048"
"102","Beschädigung","-0.0048"
"103","Beschäftigungslose","-0.0048"
"104","Beschäftigungsloser","-0.0048"
"105","Beschämung","-0.0048"
"106","Beseitigung","-0.0048"
"107","Besorgnis","-0.0048"
"108","Bestechung","-0.0048"
"109","Besteuerung","-0.0048"
"110","Bestrafung","-0.0048"
"111","Bestürzung","-0.0048"
"112","Betrug","-0.4913"
"113","Betrüger","-0.3311"
"114","Beule","-0.0048"
"115","Beunruhigung","-0.324"
"116","Bevormundung","-0.0048"
"117","Bitterkeit","-0.0048"
"118","Blindheit","-0.0048"
"119","Blockade","-0.0048"
"120","Blockierung","-0.0048"
"121","Blödheit","-0.0048"
"122","Bombardement","-0.0048"
"123","Bombardierung","-0.0048"
"124","Bombe","-0.0048"
"125","Bosheit","-0.3371"
"126","Brand","-0.0048"
"127","Bruch","-0.3463"
"128","Brutalität","-0.0048"
"129","Bußgeld","-0.3377"
"130","Bösartigkeit","-0.3189"
"131","Bösewicht","-0.0048"
"132","Bürde","-0.0524"
"133","Chaos","-0.3489"
"134","Crash","-0.1885"
"135","Defekt","-0.0048"
"136","Defizit","-0.347"
"137","Deformation","-0.0048"
"138","Degradierung","-0.3137"
"139","Dekadenz","-0.0048"
"140","Demütigung","-0.0048"
"141","Denkfehler","-0.0048"
"142","Depression","-0.4951"
"143","Desaster","-0.3413"
"144","Desinteresse","-0.3348"
"145","Dezimierung","-0.0048"
"146","Dieb","-0.1962"
"147","Diebstahl","-0.3505"
"148","Diffamierung","-0.4591"
"149","Diktator","-0.0048"
"150","Dilemma","-0.3403"
"151","Diskriminierung","-0.0048"
"152","Dissens","-0.0048"
"153","Dominierung","-0.0048"
"154","Doppeldeutigkeit","-0.0048"
"155","Doppelspiel","-0.0048"
"156","Dreck","-0.0048"
"157","Drift","-0.0048"
"158","Drohung","-0.0048"
"159","Drosselung","-0.3178"
"160","Dummheit","-0.4877"
"161","Dummkopf","-0.0048"
"162","Dunkelheit","-0.3547"
"163","Durcheinander","-0.0048"
"164","Dussel","-0.3094"
"165","Dämpfer","-0.0048"
"166","Dürre","-0.0048"
"167","Düsternis","-0.0048"
"168","Egoist","-0.3179"
"169","Ehebruch","-0.4743"
"170","Einbrecher","-0.0048"
"171","Einbruch","-0.3498"
"172","Einbuße","-0.0048"
"173","Einsamkeit","-0.339"
"174","Einschlag","-0.0048"
"175","Einschränkung","-0.2048"
"176","Einschüchterung","-0.0048"
"177","Einsturz","-0.0048"
"178","Ekel","-0.462"
"179","Elend","-0.2013"
"180","Empörung","-0.0048"
"181","Ende","-0.2088"
"182","Energielosigkeit","-0.0048"
"183","Entbindung","-0.0048"
"184","Entfremdung","-0.0048"
"185","Entführung","-0.0048"
"186","Enthauptung","-0.0048"
"187","Entlassung","-0.0048"
"188","Entmutigung","-0.0048"
"189","Enttäuschung","-0.3378"
"190","Entziehung","-0.0048"
"191","Epidemie","-0.0048"
"192","Ermahnung","-0.0048"
"193","Ermordung","-0.332"
"194","Ermüdung","-0.0048"
"195","Erniedrigung","-0.3259"
"196","Ernüchterung","-0.0048"
"197","Erosion","-0.0666"
"198","Erpressung","-0.0048"
"199","Erschöpfung","-0.0595"
"200","Erschütterung","-0.0048"
"201","Explosion","-0.0048"
"202","Fahrlässigkeit","-0.0048"
"203","Farce","-0.3349"
"204","Faschist","-0.0048"
"205","Faulheit","-0.611"
"206","Fehde","-0.0048"
"207","Fehlanzeige","-0.0048"
"208","Fehler","-0.6752"
"209","Fehlermeldung","-0.4765"
"210","Fehlkauf","-0.0048"
"211","Fehlkonstruktion","-0.0048"
"212","Fehlleistung","-0.0048"
"213","Fehltritt","-0.0048"
"214","Fehlverhalten","-0.3461"
"215","Feind","-0.8054"
"216","Feuer","-0.0445"
"217","Fiasko","-0.0048"
"218","Finanzkrise","-0.3283"
"219","Finte","-0.0048"
"220","Flaute","-0.0413"
"221","Fluch","-0.3534"
"222","Flucht","-0.0048"
"223","Flüchtiger","-0.0048"
"224","Flüchtigkeit","-0.0048"
"225","Flüchtling","-0.0048"
"226","Frechheit","-0.4665"
"227","Frust","-0.469"
"228","Frustration","-0.3354"
"229","Furcht","-0.5012"
"230","Fälschung","-0.3377"
"231","Gammler","-0.0048"
"232","Gangster","-0.3375"
"233","Garnichts","-0.0048"
"234","Gauner","-0.4592"
"235","Gebrechen","-0.3251"
"236","Gedränge","-0.0571"
"237","Gefahr","-1"
"238","Gefecht","-0.3373"
"239","Gefährdung","-0.0048"
"240","Gegner","-0.344"
"241","Geisteskrankheit","-0.0048"
"242","Geistlosigkeit","-0.0048"
"243","Geiz","-0.0048"
"244","Geizhals","-0.0048"
"245","Geizkragen","-0.0048"
"246","Geldstrafe","-0.3299"
"247","Geschmacklosigkeit","-0.0048"
"248","Geschäftsauflösung","-0.0048"
"249","Gestank","-0.0048"
"250","Gewalt","-0.5363"
"251","Gewalttätige","-0.0048"
"252","Gewalttätiger","-0.0048"
"253","Gift","-0.3505"
"254","Glanzlosigkeit","-0.0048"
"255","Gleichgültigkeit","-0.343"
"256","Glücklosigkeit","-0.0048"
"257","Gnadenlosigkeit","-0.0048"
"258","Grausamkeit","-0.3348"
"259","Groll","-0.6021"
"260","Groteske","-0.0048"
"261","Habgier","-0.0532"
"262","Haft","-0.0048"
"263","Handgemenge","-0.3174"
"264","Handicap","-0.0426"
"265","Hass","-0.5014"
"266","Heimsuchung","-0.0048"
"267","Hektik","-0.0048"
"268","Hemmung","-0.0048"
"269","Herausforderung","-0.0048"
"270","Heuchelei","-0.0048"
"271","Heuchler","-0.3251"
"272","Hilflosigkeit","-0.3394"
"273","Hindernis","-0.0048"
"274","Hinterhalt","-0.0048"
"275","Hinterlist","-0.0048"
"276","Hohn","-0.0048"
"277","Horror","-0.0509"
"278","Hunger","-0.3531"
"279","Hungersnot","-0.4739"
"280","Hungertod","-0.0048"
"281","Hysterie","-0.3386"
"282","Härte","-0.0446"
"283","Hölle","-0.5052"
"284","Idiot","-0.0048"
"285","Illegalität","-0.0048"
"286","Immobilität","-0.0048"
"287","Ineffizienz","-0.0048"
"288","Infektion","-0.2059"
"289","Infiltration","-0.0048"
"290","Inflation","-0.3462"
"291","Inkompetenz","-0.0048"
"292","Inkonsequenz","-0.0455"
"293","Inkonsistenz","-0.3097"
"294","Instabilität","-0.3358"
"295","Intervention","-0.1975"
"296","Invasion","-0.0048"
"297","Isolation","-0.3453"
"298","Jammer","-0.4613"
"299","Jähzorn","-0.0048"
"300","Kampf","-0.5372"
"301","Kapitalverbrechen","-0.0048"
"302","Kapitulation","-0.0048"
"303","Katastrophe","-0.5027"
"304","Keim","-0.0048"
"305","Klage","-0.0048"
"306","Klischee","-0.48"
"307","Kläger","-0.3673"
"308","Knappheit","-0.0048"
"309","Kollaps","-0.0048"
"310","Kollision","-0.3323"
"311","Komplikation","-0.0048"
"312","Konflikt","-0.0048"
"313","Konfrontation","-0.0048"
"314","Konjunkturrückgang","-0.0048"
"315","Konkurrenz","-0.0461"
"316","Konkurrenzkampf","-0.0494"
"317","Konkurs","-0.0048"
"318","Kontroverse","-0.3329"
"319","Kopfschmerzen","-0.1993"
"320","Korruption","-0.3439"
"321","Kostspieligkeit","-0.0048"
"322","Krach","-0.0048"
"323","Krankheit","-0.6858"
"324","Krieg","-0.5364"
"325","Kriminalität","-0.0048"
"326","Krise","-0.3621"
"327","Kritik","-0.5308"
"328","Kritiker","-0.6494"
"329","Kränkung","-0.0048"
"330","Krüppel","-0.3203"
"331","Kurseinbruch","-0.0048"
"332","Kälte","-0.0048"
"333","Kündigung","-0.0048"
"334","Kürzung","-0.341"
"335","Langeweile","-0.0377"
"336","Langweiler","-0.0443"
"337","Last","-0.0048"
"338","Launenhaftigkeit","-0.0048"
"339","Lebensgefahr","-0.0048"
"340","Leblosigkeit","-0.0048"
"341","Leere","-0.0048"
"342","Leichtsinn","-0.3253"
"343","Leichtsinnsfehler","-0.0371"
"344","Leid","-0.5056"
"345","Leidende","-0.0048"
"346","Liquidation","-0.0048"
"347","Lähmung","-0.0048"
"348","Löschung","-0.0048"
"349","Lüge","-0.5"
"350","Lügner","-0.4767"
"351","Makel","-0.1813"
"352","Mangel","-0.3669"
"353","Manipulation","-0.3455"
"354","Massaker","-0.0048"
"355","Maßlosigkeit","-0.0048"
"356","Melancholie","-0.1859"
"357","Melodrama","-0.0048"
"358","Merkwürdigkeit","-0.0048"
"359","Minderung","-0.0048"
"360","Minderwertigkeit","-0.3201"
"361","Missachtung","-0.0048"
"362","Missbrauch","-0.0048"
"363","Missgeschick","-0.0472"
"364","Missglück","-0.0048"
"365","Misstrauen","-0.4778"
"366","Misstrauensantrag","-0.0048"
"367","Missverständnis","-0.4756"
"368","Mist","-0.1732"
"369","Mittellosigkeit","-0.0048"
"370","Mittelmäßigkeit","-0.0048"
"371","Monotonie","-0.0048"
"372","Mord","-0.3595"
"373","Mutlosigkeit","-0.0048"
"374","Müdigkeit","-0.1995"
"375","Mühe","-0.0048"
"376","Müll","-0.3377"
"377","Nachlässigkeit","-0.0048"
"378","Nachteil","-0.8102"
"379","Naivität","-0.0048"
"380","Narr","-0.335"
"381","Negativität","-0.3155"
"382","Neid","-0.4729"
"383","Nervosität","-0.1833"
"384","Neustart","-0.0504"
"385","Niedergang","-0.0048"
"386","Niedergeschlagenheit","-0.0048"
"387","Niederlage","-0.3651"
"388","Not","-0.2187"
"389","Notfall","-0.0468"
"390","Notstand","-0.0048"
"391","Nutzlosigkeit","-0.0048"
"392","Nötigung","-0.0048"
"393","Oberflächlichkeit","-0.3299"
"394","Offensive","-0.0048"
"395","Opposition","-0.3631"
"396","Panik","-0.3429"
"397","Panne","-0.1901"
"398","Pech","-0.4823"
"399","Pessimismus","-0.4715"
"400","Pest","-0.3456"
"401","Pflicht","-0.3577"
"402","Pleite","-0.3323"
"403","Preissturz","-0.0048"
"404","Problem","-0.3865"
"405","Propaganda","-0.4893"
"406","Protest","-0.3564"
"407","Provisorium","-0.0048"
"408","Provokation","-0.0048"
"409","Qual","-0.0402"
"410","Qualitätsminderung","-0.3096"
"411","Rache","-0.3534"
"412","Ratlosigkeit","-0.0048"
"413","Raub","-0.0048"
"414","Rebellen","-0.0048"
"415","Rebellion","-0.0048"
"416","Rechtswidrigkeit","-0.0499"
"417","Redundanz","-0.0048"
"418","Reinfall","-0.0048"
"419","Reklamation","-0.0048"
"420","Reparatur","-0.0048"
"421","Revolte","-0.0048"
"422","Revolution","-0.0048"
"423","Rezession","-0.3454"
"424","Risiko","-0.687"
"425","Rivale","-0.0502"
"426","Rivalität","-0.0048"
"427","Rost","-0.0048"
"428","Ruin","-0.0048"
"429","Rutsch","-0.0048"
"430","Rätselraten","-0.0048"
"431","Räuber","-0.3508"
"432","Rückfall","-0.0048"
"433","Rückgang","-0.2096"
"434","Rückschritt","-0.0048"
"435","Rücksendung","-0.3465"
"436","Rücksichtslosigkeit","-0.0048"
"437","Rückstand","-0.063"
"438","Rückständigkeit","-0.0048"
"439","Rücktritt","-0.0048"
"440","Rückzug","-0.3501"
"441","Sabotage","-0.0048"
"442","Sackgasse","-0.3455"
"443","Schaden","-0.5299"
"444","Schadensbild","-0.0048"
"445","Scham","-0.4829"
"446","Schande","-0.0048"
"447","Scheidung","-0.2023"
"448","Scheitern","-0.3524"
"449","Schelte","-0.0048"
"450","Scheußlichkeit","-0.0048"
"451","Schlachtfeld","-0.0048"
"452","Schlag","-0.0048"
"453","Schlamperei","-0.0048"
"454","Schlechtigkeit","-0.4646"
"455","Schlitterbahn","-0.0048"
"456","Schlägerei","-0.0048"
"457","Schmerz","-0.0048"
"458","Schmuggel","-0.0048"
"459","Schmutz","-0.0542"
"460","Schock","-0.0048"
"461","Schramme","-0.0048"
"462","Schreck","-0.194"
"463","Schrott","-0.0534"
"464","Schräglauf","-0.0048"
"465","Schubs","-0.0048"
"466","Schuld","-0.9686"
"467","Schuldner","-0.0048"
"468","Schuldnerin","-0.0048"
"469","Schurke","-0.3306"
"470","Schwierigkeit","-0.0483"
"471","Schwund","-0.0048"
"472","Schwäche","-0.5035"
"473","Schwächung","-0.337"
"474","Schäden","-0.3731"
"475","Schädigung","-0.0048"
"476","Senkung","-0.0545"
"477","Sinnlosigkeit","-0.0048"
"478","Sintflut","-0.3313"
"479","Skandal","-0.0048"
"480","Sklave","-0.3281"
"481","Sklavenarbeit","-0.0048"
"482","Sorge","-0.3618"
"483","Spott","-0.3357"
"484","Sprengstoff","-0.0048"
"485","Sprengung","-0.0048"
"486","Stagnation","-0.0048"
"487","Stau","-0.0438"
"488","Sterben","-0.0539"
"489","Steuerhinterziehung","-0.0048"
"490","Stilllegung","-0.0048"
"491","Stillstand","-0.0048"
"492","Stornierung","-0.0048"
"493","Stoß","-0.0048"
"494","Strafverfahren","-0.0048"
"495","Strapaze","-0.0048"
"496","Streik","-0.0048"
"497","Streit","-0.6632"
"498","Strenge","-0.0048"
"499","Stress","-0.0048"
"500","Streß","-0.0048"
"501","Sturheit","-0.1894"
"502","Sturz","-0.6316"
"503","Störung","-0.3569"
"504","Sucht","-0.3505"
"505","Sündenbock","-0.3285"
"506","Tabu","-0.0048"
"507","Terror","-0.0048"
"508","Terrorismus","-0.3553"
"509","Teuerung","-0.322"
"510","Teuerungsrate","-0.0048"
"511","Teufelskreis","-0.479"
"512","Tod","-0.0697"
"513","Todesfall","-0.0048"
"514","Todesstrafe","-0.0048"
"515","Torheit","-0.0048"
"516","Totschlag","-0.0048"
"517","Tragödie","-0.0048"
"518","Trauer","-0.0048"
"519","Trauma","-0.0048"
"520","Traurigkeit","-0.0457"
"521","Trennung","-0.5071"
"522","Tristesse","-0.0555"
"523","Trostlosigkeit","-0.0048"
"524","Trott","-0.0048"
"525","Trugschluß","-0.0048"
"526","Trägheit","-0.1937"
"527","Träne","-0.0562"
"528","Trübsal","-0.189"
"529","Turbolenz","-0.0048"
"530","Turbolenzen","-0.0048"
"531","Tyrannei","-0.3243"
"532","Täuschung","-0.3445"
"533","Umtausch","-0.343"
"534","Unbehagen","-0.3291"
"535","Unbehaglichkeit","-0.0048"
"536","Unbeliebtheit","-0.0048"
"537","Unbequemlichkeit","-0.0048"
"538","Unbestimmtheit","-0.0537"
"539","Undankbarkeit","-0.0048"
"540","Unehrlichkeit","-0.0048"
"541","Uneinigkeit","-0.3289"
"542","Unerbittlichkeit","-0.0048"
"543","Unerträglichkeit","-0.0048"
"544","Unfall","-0.0048"
"545","Unfreundlichkeit","-0.3085"
"546","Unfug","-0.3394"
"547","Unfähigkeit","-0.1896"
"548","Ungeduld","-0.4655"
"549","Ungehorsamkeit","-0.0048"
"550","Ungenauigkeit","-0.0048"
"551","Ungerechtigkeit","-0.3419"
"552","Ungeschicklichkeit","-0.3116"
"553","Unglaubwürdigkeit","-0.0048"
"554","Ungleichheit","-0.0048"
"555","Unglück","-0.5004"
"556","Unheilbarkeit","-0.0048"
"557","Unhöflichkeit","-0.0048"
"558","Unklarheit","-0.0048"
"559","Unmenschlichkeit","-0.0048"
"560","Unmoral","-0.3172"
"561","Unmut","-0.3394"
"562","Unordnung","-0.3391"
"563","Unrecht","-0.5086"
"564","Unregelmäßigkeit","-0.0048"
"565","Unrentabilität","-0.0048"
"566","Unruhe","-0.201"
"567","Unsicherheit","-0.358"
"568","Unsinn","-0.4969"
"569","Unstetigkeit","-0.3075"
"570","Unstimmigkeit","-0.0048"
"571","Unterbrechung","-0.0048"
"572","Unterdrückung","-0.0048"
"573","Untergang","-0.3498"
"574","Unterlassung","-0.0048"
"575","Unterwerfung","-0.3279"
"576","Untreue","-0.3293"
"577","Unverantwortlichkeit","-0.3068"
"578","Unvereinbarkeit","-0.0048"
"579","Unverhältnismäßigkeit","-0.0048"
"580","Unverschämtheit","-0.0048"
"581","Unvollkommenheit","-0.0048"
"582","Unvollständigkeit","-0.0048"
"583","Unwahrheit","-0.466"
"584","Unwirksamkeit","-0.0048"
"585","Unwirtschaftlichkeit","-0.0048"
"586","Unwissenheit","-0.4935"
"587","Unzufriedenheit","-0.6324"
"588","Unzumutbarkeit","-0.0048"
"589","Unzuverlässigkeit","-0.0048"
"590","Vagheit","-0.0048"
"591","Verachtung","-0.3308"
"592","Verbannung","-0.0048"
"593","Verbot","-0.0048"
"594","Verdacht","-0.8074"
"595","Verdorbenheit","-0.0048"
"596","Verdrängung","-0.0048"
"597","Verdächtige","-0.0048"
"598","Verfall","-0.0048"
"599","Verfehlung","-0.0048"
"600","Vergeltung","-0.3369"
"601","Vergeltungsmaßnahme","-0.0048"
"602","Vergeudung","-0.0048"
"603","Verherrlichung","-0.0048"
"604","Verhängnis","-0.0048"
"605","Verkleinerung","-0.0048"
"606","Verlangsamung","-0.0048"
"607","Verletzung","-0.5032"
"608","Verleumdung","-0.4792"
"609","Verlierer","-0.3441"
"610","Verlust","-0.5204"
"611","Vermeidung","-0.0048"
"612","Verminderung","-0.0048"
"613","Vernachlässigung","-0.328"
"614","Vernichtung","-0.4883"
"615","Verrat","-0.0048"
"616","Verräter","-0.3352"
"617","Verrückter","-0.0447"
"618","Verrücktheit","-0.0048"
"619","Versagen","-0.3517"
"620","Verschlechterung","-0.4959"
"621","Verschmutzung","-0.3392"
"622","Verschwendung","-0.0048"
"623","Verschwörung","-0.3355"
"624","Versenkung","-0.0048"
"625","Versklavung","-0.0048"
"626","Verstoß","-0.0048"
"627","Verstrickung","-0.0048"
"628","Versuchung","-0.3463"
"629","Versäumnis","-0.0048"
"630","Vertreibung","-0.0048"
"631","Verurteilung","-0.0048"
"632","Verweigerung","-0.3441"
"633","Verwerfung","-0.3202"
"634","Verwirrung","-0.3323"
"635","Verwundung","-0.0048"
"636","Verwüstung","-0.0048"
"637","Verzerrung","-0.0048"
"638","Verzicht","-0.2022"
"639","Verzweiflung","-0.0048"
"640","Verzögerung","-0.0048"
"641","Vorurteil","-0.6261"
"642","Vorwand","-0.0048"
"643","Vorwurf","-0.5095"
"644","Wahnsinn","-0.0048"
"645","Wermutstropfen","-0.3356"
"646","Wertlosigkeit","-0.0048"
"647","Wertverlust","-0.0048"
"648","Wichtigtuer","-0.0048"
"649","Widernatürlichkeit","-0.0048"
"650","Widerruf","-0.0048"
"651","Widerspruch","-0.3655"
"652","Widrigkeit","-0.0048"
"653","Wirtschaftskrise","-0.0048"
"654","Wrack","-0.0048"
"655","Wunde","-0.3396"
"656","Wut","-0.4726"
"657","Wüste","-0.0048"
"658","Zahlungsunfähigkeit","-0.0048"
"659","Zeitverschwendung","-0.3223"
"660","Zensur","-0.3468"
"661","Zerrung","-0.0048"
"662","Zerschlagung","-0.0048"
"663","Zerstörung","-0.3578"
"664","Ziellosigkeit","-0.0048"
"665","Zoll","-0.0048"
"666","Zorn","-0.3537"
"667","Zumutung","-0.3286"
"668","Zusammenbruch","-0.0048"
"669","Zusammenstoß","-0.3302"
"670","Zwang","-0.0721"
"671","Zwangslage","-0.0048"
"672","Zwangsmaßnahmen","-0.0048"
"673","Zweifel","-0.0048"
"674","Zwietracht","-0.0048"
"675","abbauen","-0.0578"
"676","abbrechen","-0.3482"
"677","abdanken","-0.0048"
"678","abdämpfen","-0.0048"
"679","abfallen","-0.0048"
"680","abfällig","-0.3197"
"681","abführen","-0.3358"
"682","abgebrochen","-0.0048"
"683","abgedroschen","-0.1839"
"684","abgestanden","-0.0368"
"685","abgetakelt","-0.0048"
"686","abgleiten","-0.0397"
"687","abgründig","-0.1719"
"688","abhängig","-0.0048"
"689","ablaufen","-0.0048"
"690","ablehnen","-0.6458"
"691","ablenken","-0.042"
"692","abnehmen","-0.0292"
"693","abnutzen","-0.0417"
"694","abraten","-0.3353"
"695","abreissen","-0.3116"
"696","abrupt","-0.0048"
"697","abrutschen","-0.0048"
"698","abschaffen","-0.0048"
"699","abschießen","-0.0048"
"700","abschrecken","-0.178"
"701","abschreckend","-0.049"
"702","abschreiben","-0.1847"
"703","abschwächen","-0.0048"
"704","abschätzig","-0.0048"
"705","absenken","-0.0048"
"706","absinken","-0.3269"
"707","abspalten","-0.3099"
"708","absperren","-0.0048"
"709","absteigen","-0.4776"
"710","abstoßen","-0.1796"
"711","abstoßend","-0.5859"
"712","abstumpfen","-0.0048"
"713","abstürzen","-0.4697"
"714","absurd","-0.212"
"715","abtragen","-0.0048"
"716","abweichen","-0.3422"
"717","abweisen","-0.0048"
"718","abwerten","-0.4521"
"719","achtlos","-0.0048"
"720","aggressiv","-0.4484"
"721","alarmieren","-0.0048"
"722","alkoholisiert","-0.0048"
"723","alt","-0.0048"
"724","altmodisch","-0.0382"
"725","amateurhaft","-0.4485"
"726","ambivalent","-0.4628"
"727","androhen","-0.0048"
"728","anfällig","-0.1884"
"729","angespannt","-0.4744"
"730","angestrengt","-0.0415"
"731","angetrunken","-0.0048"
"732","angreifen","-0.0464"
"733","anklagen","-0.0048"
"734","anmaßen","-0.0048"
"735","annullieren","-0.3149"
"736","anschießen","-0.0048"
"737","anspannen","-0.0444"
"738","anstrengen","-0.0048"
"739","anstrengend","-0.0048"
"740","anstößig","-0.0048"
"741","antiquiert","-0.0048"
"742","anzünden","-0.3333"
"743","apathisch","-0.3252"
"744","apokalyptisch","-0.0048"
"745","arbeitslos","-0.3426"
"746","archaisch","-0.0048"
"747","arm","-0.4546"
"748","armselig","-0.1814"
"749","arrogant","-0.4659"
"750","attackieren","-0.0048"
"751","aufblasen","-0.0048"
"752","aufblähen","-0.0048"
"753","aufbringen","-0.0048"
"754","auffallen","-0.3386"
"755","aufgeben","-0.2098"
"756","aufgebracht","-0.0048"
"757","aufgeregt","-0.0048"
"758","aufhören","-0.0142"
"759","auflösen","-0.0412"
"760","aufregen","-0.0048"
"761","aufreibend","-0.0048"
"762","aufrühren","-0.0256"
"763","aufschlagen","-0.04"
"764","aufschreien","-0.043"
"765","aufwühlen","-0.0398"
"766","ausbeuten","-0.3215"
"767","ausbrechen","-0.1819"
"768","auseinanderfallen","-0.0048"
"769","auseinandersetzen","-0.0584"
"770","ausfallen","-0.3481"
"771","ausgehungert","-0.0048"
"772","ausgestorben","-0.0389"
"773","ausgleiten","-0.0048"
"774","ausgrenzen","-0.0048"
"775","ausradieren","-0.0048"
"776","ausrotten","-0.0048"
"777","ausschalten","-0.0048"
"778","ausschließen","-0.4935"
"779","aussetzen","-0.3413"
"780","aussichtslos","-0.183"
"781","aussterben","-0.0048"
"782","banal","-0.3166"
"783","barbarisch","-0.3176"
"784","beanstandet","-0.333"
"785","bedauerlich","-0.0551"
"786","bedauern","-0.0574"
"787","bedauernswert","-0.0048"
"788","bedenklich","-0.7701"
"789","bedeppert","-0.0048"
"790","bedeutungslos","-0.6046"
"791","bedrohen","-0.3408"
"792","bedrohlich","-0.4726"
"793","bedrängen","-0.0048"
"794","bedrücken","-0.3123"
"795","bedrückt","-0.0494"
"796","bedürftig","-0.0048"
"797","beeinträchtigen","-0.4979"
"798","beenden","-0.0603"
"799","befallen","-0.334"
"800","befangen","-0.3253"
"801","befremdlich","-0.0048"
"802","befürchten","-0.3602"
"803","begrenzen","-0.0048"
"804","begrenzt","-0.0048"
"805","begriffsstutzig","-0.0048"
"806","behindern","-0.7748"
"807","behämmert","-0.0376"
"808","beklagen","-0.4967"
"809","beklagenswert","-0.0048"
"810","bekloppt","-0.0048"
"811","beknackt","-0.0358"
"812","bekümmert","-0.4503"
"813","belanglos","-0.3306"
"814","belasten","-0.5078"
"815","beleidigen","-0.6076"
"816","beleidigend","-0.4636"
"817","beleidigt","-0.4848"
"818","belästigen","-0.0048"
"819","berauben","-0.0048"
"820","bergab","-0.0048"
"821","bescheuert","-0.0048"
"822","beschissen","-0.2947"
"823","beschneiden","-0.3293"
"824","beschruppt","-0.0048"
"825","beschränken","-0.0048"
"826","beschränkt","-0.0048"
"827","beschuldigen","-0.3264"
"828","beschweren","-0.0413"
"829","beschwerlich","-0.0491"
"830","beschädigen","-0.335"
"831","beschäftigungslos","-0.0048"
"832","beschämen","-0.0048"
"833","beseitigen","-0.0048"
"834","besorgniserregend","-0.3281"
"835","besorgt","-0.0482"
"836","bestechen","-0.0048"
"837","besteuern","-0.0048"
"838","bestrafen","-0.4811"
"839","bestürzt","-0.0048"
"840","betrunken","-0.172"
"841","betrügen","-0.743"
"842","betrügerisch","-0.3163"
"843","betäuben","-0.0048"
"844","beunruhigen","-0.3221"
"845","beunruhigend","-0.3264"
"846","beunruhigt","-0.4795"
"847","bevormunden","-0.0048"
